idDriver;dtRef;dtLastSeen;dtFirstSeen;dtIntervalMaxMin;qtRaces;qtTeams;idTeam;qtLastSeenRace;avgGridPosition;medianGridPosition;avgPosition;medianPosition;totalPositionLift;avgPositionLift;medianPositionLift;pctPolePositition;pctPolewin;qtdPolePositition;qtdPolewin;avgGridPositionRaceFirst05;medianGridPositionRaceFirst05;avgPositionRaceFirst05;medianPositionRaceFirst05;totalPositionLiftRaceFirst05;avgPositionLiftRaceFirst05;medianPositionLiftRaceFirst05;pctPolePosititionRaceFirst05;pctPolewinRaceFirst05;avgGridPositionRaceFirst10;medianGridPositionRaceFirst10;avgPositionRaceFirst10;medianPositionRaceFirst10;totalPositionLiftRaceFirst10;avgPositionLiftRaceFirst10;medianPositionLiftRaceFirst10;pctPolePosititionRaceFirst10;pctPolewinRaceFirst10;avgGridPositionRaceLast10;medianGridPositionRaceLast10;avgPositionRaceLast10;medianPositionRaceLast10;totalPositionLiftRaceLast10;avgPositionLiftRaceLast10;medianPositionLiftRaceLast10;pctPolePosititionRaceLast10;pctPolewinRaceLast10;avgGridPositionRaceLast20;medianGridPositionRaceLast20;avgPositionRaceLast20;medianPositionRaceLast20;totalPositionLiftRaceLast20;avgPositionLiftRaceLast20;medianPositionLiftRaceLast20;pctPolePosititionRaceLast20;pctPolewinRaceLast20;avgGridPositionRaceLast40;medianGridPositionRaceLast40;avgPositionRaceLast40;medianPositionRaceLast40;totalPositionLiftRaceLast40;avgPositionLiftRaceLast40;medianPositionLiftRaceLast40;pctPolePosititionRaceLast40;pctPolewinRaceLast40
albon;2025-04-06;2025-04-06;2019-03-17;2212;108;3;williams;0;11.657407407407407;12.0;11.777777777777779;12.0;-13;-0.12037037037037036;0.0;0.0;0.0;0;0;11.4;11.0;11.0;11.0;2;0.4;0.0;0.0;0.0;11.8;11.0;12.4;11.5;-6;-0.6;0.0;0.0;0.0;11.7;10.5;13.9;15.5;-22;-2.2;-1.0;0.0;0.0;12.05;10.0;13.15;14.0;-22;-1.1;0.0;0.0;0.0;12.1;13.0;13.025;12.5;-37;-0.925;0.0;0.0;0.0
alonso;2025-04-06;2025-04-06;2001-03-04;8799;407;6;aston_martin;0;8.653562653562654;8.0;8.54054054054054;7.0;46;0.11302211302211303;1.0;0.05405405405405406;0.0343980343980344;22;14;19.0;19.0;15.8;13.0;16;3.2;5.0;0.0;0.0;19.5;19.0;15.7;14.5;38;3.8;4.5;0.0;0.0;10.5;10.5;12.5;12.0;-20;-2.0;-2.5;0.0;0.0;10.0;9.5;11.3;11.0;-26;-1.3;-1.0;0.0;0.0;9.425;9.0;10.075;9.0;-26;-0.65;0.0;0.0;0.0
antonelli;2025-04-06;2025-04-06;2025-03-16;21;3;1;mercedes;0;10.0;8.0;5.333333333333333;6.0;14;4.666666666666667;2.0;0.0;0.0;0;0;10.0;8.0;5.333333333333333;6.0;14;4.666666666666667;2.0;0.0;0.0;10.0;8.0;5.333333333333333;6.0;14;4.666666666666667;2.0;0.0;0.0;10.0;8.0;5.333333333333333;6.0;14;4.666666666666667;2.0;0.0;0.0;10.0;8.0;5.333333333333333;6.0;14;4.666666666666667;2.0;0.0;0.0;10.0;8.0;5.333333333333333;6.0;14;4.666666666666667;2.0;0.0;0.0
bearman;2025-04-06;2025-04-06;2024-03-09;393;6;2;haas;0;13.833333333333334;13.0;10.166666666666666;10.0;22;3.6666666666666665;3.5;0.0;0.0;0;0;14.6;15.0;10.2;10.0;22;4.4;4.0;0.0;0.0;13.833333333333334;13.0;10.166666666666666;10.0;22;3.6666666666666665;3.5;0.0;0.0;13.833333333333334;13.0;10.166666666666666;10.0;22;3.6666666666666665;3.5;0.0;0.0;13.833333333333334;13.0;10.166666666666666;10.0;22;3.6666666666666665;3.5;0.0;0.0;13.833333333333334;13.0;10.166666666666666;10.0;22;3.6666666666666665;3.5;0.0;0.0
bortoleto;2025-04-06;2025-04-06;2025-03-16;21;3;1;sauber;0;17.0;17.0;16.333333333333332;16.0;2;0.6666666666666666;-1.0;0.0;0.0;0;0;17.0;17.0;16.333333333333332;16.0;2;0.6666666666666666;-1.0;0.0;0.0;17.0;17.0;16.333333333333332;16.0;2;0.6666666666666666;-1.0;0.0;0.0;17.0;17.0;16.333333333333332;16.0;2;0.6666666666666666;-1.0;0.0;0.0;17.0;17.0;16.333333333333332;16.0;2;0.6666666666666666;-1.0;0.0;0.0;17.0;17.0;16.333333333333332;16.0;2;0.6666666666666666;-1.0;0.0;0.0
doohan;2025-04-06;2025-04-06;2024-12-08;119;4;1;alpine;0;17.0;17.5;15.5;15.0;6;1.5;3.0;0.0;0.0;0;0;17.0;17.5;15.5;15.0;6;1.5;3.0;0.0;0.0;17.0;17.5;15.5;15.0;6;1.5;3.0;0.0;0.0;17.0;17.5;15.5;15.0;6;1.5;3.0;0.0;0.0;17.0;17.5;15.5;15.0;6;1.5;3.0;0.0;0.0;17.0;17.5;15.5;15.0;6;1.5;3.0;0.0;0.0
gasly;2025-04-06;2025-04-06;2017-10-01;2744;157;4;alpine;0;11.21656050955414;11.0;11.32484076433121;11.0;-17;-0.10828025477707007;0.0;0.0;0.0;0;0;17.0;17.0;13.6;13.0;17;3.4;1.0;0.0;0.0;15.6;17.0;13.9;13.5;17;1.7;1.0;0.0;0.0;10.0;10.0;11.8;11.5;-18;-1.8;-2.0;0.0;0.0;11.85;11.5;12.25;11.5;-8;-0.4;-1.0;0.0;0.0;12.375;12.0;12.4;12.0;-1;-0.025;0.0;0.0;0.0
hadjar;2025-04-06;2025-04-06;2025-03-16;21;3;1;rb;0;8.333333333333334;7.0;13.0;11.0;-14;-4.666666666666667;-4.0;0.0;0.0;0;0;8.333333333333334;7.0;13.0;11.0;-14;-4.666666666666667;-4.0;0.0;0.0;8.333333333333334;7.0;13.0;11.0;-14;-4.666666666666667;-4.0;0.0;0.0;8.333333333333334;7.0;13.0;11.0;-14;-4.666666666666667;-4.0;0.0;0.0;8.333333333333334;7.0;13.0;11.0;-14;-4.666666666666667;-4.0;0.0;0.0;8.333333333333334;7.0;13.0;11.0;-14;-4.666666666666667;-4.0;0.0;0.0
hamilton;2025-04-06;2025-04-06;2007-03-18;6594;359;3;ferrari;0;4.376044568245125;3.0;5.077994428969359;3.0;-252;-0.7019498607242339;0.0;0.28969359331476324;0.16991643454038996;104;61;3.2;4.0;2.2;2.0;5;1.0;1.0;0.0;0.0;3.1;2.0;2.8;2.0;3;0.3;0.0;0.3;0.2;9.3;8.0;9.4;8.5;-1;-0.1;-0.5;0.0;0.0;8.2;6.5;6.95;5.5;25;1.25;1.0;0.0;0.0;7.875;7.0;7.45;6.0;17;0.425;2.0;0.025;0.0
hulkenberg;2025-04-06;2025-04-06;2010-03-14;5502;233;7;sauber;0;10.858369098712446;11.0;11.935622317596566;11.0;-251;-1.0772532188841202;0.0;0.004291845493562232;0.0;1;0;12.4;13.0;15.4;15.0;-15;-3.0;-3.0;0.0;0.0;12.3;13.0;16.3;15.5;-40;-4.0;-2.0;0.0;0.0;12.4;11.5;11.6;9.0;8;0.8;0.5;0.0;0.0;12.45;12.0;11.95;11.0;10;0.5;0.5;0.0;0.0;12.525;12.0;12.6;12.0;-3;-0.075;-0.5;0.0;0.0
lawson;2025-04-06;2025-04-06;2023-08-27;588;14;3;rb;0;14.214285714285714;13.5;13.285714285714286;13.5;13;0.9285714285714286;0.5;0.0;0.0;0;0;13.8;12.0;12.2;11.0;8;1.6;1.0;0.0;0.0;13.6;13.0;12.5;12.0;11;1.1;0.5;0.0;0.0;14.7;15.5;14.2;15.5;5;0.5;-1.0;0.0;0.0;14.214285714285714;13.5;13.285714285714286;13.5;13;0.9285714285714286;0.5;0.0;0.0;14.214285714285714;13.5;13.285714285714286;13.5;13;0.9285714285714286;0.5;0.0;0.0
